quarantine_id,table_name,record_id,issue_type,action,detected_at,record_payload
QR0000001,dim_customer,C043073,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""ZG"", ""customer_created_date"": ""2023-11-13"", ""customer_id"": ""C043073"", ""customer_type"": ""Business"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""Email""}"
QR0000002,dim_customer,C016417,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""SO"", ""customer_created_date"": ""2021-06-05"", ""customer_id"": ""C016417"", ""customer_type"": ""Private"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Email""}"
QR0000003,dim_customer,C015865,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""25-34"", ""canton"": ""BL"", ""customer_created_date"": ""2023-04-29"", ""customer_id"": ""C015865"", ""customer_type"": ""Private"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""Phone""}"
QR0000004,dim_customer,C011904,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""65+"", ""canton"": ""SG"", ""customer_created_date"": ""2022-08-06"", ""customer_id"": ""C011904"", ""customer_type"": ""Private"", ""lead_source"": ""Social Media"", ""preferred_contact_method"": ""Email""}"
QR0000005,dim_customer,C027299,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""UR"", ""customer_created_date"": ""2020-09-05"", ""customer_id"": ""C027299"", ""customer_type"": ""Business"", ""lead_source"": ""Partner"", ""preferred_contact_method"": ""Phone""}"
QR0000006,dim_customer,C004997,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""55-64"", ""canton"": ""ZH"", ""customer_created_date"": ""2020-06-13"", ""customer_id"": ""C004997"", ""customer_type"": ""Fleet"", ""lead_source"": ""Social Media"", ""preferred_contact_method"": ""SMS""}"
QR0000007,dim_customer,C030965,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""VD"", ""customer_created_date"": ""2022-09-12"", ""customer_id"": ""C030965"", ""customer_type"": ""Business"", ""lead_source"": ""Partner"", ""preferred_contact_method"": ""Email""}"
QR0000008,dim_customer,C031646,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""45-54"", ""canton"": ""VS"", ""customer_created_date"": ""2021-09-02"", ""customer_id"": ""C031646"", ""customer_type"": ""Fleet"", ""lead_source"": ""Paid Search"", ""preferred_contact_method"": ""WhatsApp""}"
QR0000009,dim_customer,C047085,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""35-44"", ""canton"": ""FR"", ""customer_created_date"": ""2020-12-26"", ""customer_id"": ""C047085"", ""customer_type"": ""Private"", ""lead_source"": ""Organic Search"", ""preferred_contact_method"": ""SMS""}"
QR0000010,dim_customer,C041787,duplicate_primary_key,Keep first occurrence; quarantine later duplicate,2026-01-01T00:00:00Z,"{""age_group"": ""55-64"", ""canton"": ""NE"", ""customer_created_date"": ""2019-11-13"", ""customer_id"": ""C041787"", ""customer_type"": ""Private"", ""lead_source"": ""Direct"", ""preferred_contact_method"": ""Phone""}"
